asin,country
7281250,us
003099506X,us
30995388,us
60295511,us
60506652,us
60590319,us
60593377,us
60593385,us
60594756,us
60760400,us
006078752X,us
60821140,us
60825189,us
60835508,us
60840927,us
60850574,us
60850582,us
60858133,us
60885564,us
60885874,us
60897392,us
61116858,us
61123978,us
61125350,us
61128899,us
61130974,us
61131032,us
61137863,us
61138010,us
61143189,us
61143448,us
61143480,us
61143766,us
61148903,us
61173932,us
61232653,us
61232920,us
61236144,us
61238546,us
61239992,us
006124340X,us
61243906,us
61244961,us
61251909,us
61255548,us
61257052,us
61284742,us
61288616,us
61288640,us
61341312,us
61350249,us
006135029X,us
61351504,us
61353353,us
61358169,us
006136293X,us
61363863,us
61370460,us
61370797,us
61373117,us
61374245,us
61375365,us
006143020X,us
61430722,us
61432660,us
61432970,us
61432989,us
61443069,us
61448702,us
61448850,us
61449296,us
61450405,us
61450464,us
61450472,us
61451509,us
61451835,us
61452416,us
61452424,us
61454141,us
61456217,us
61456888,us
61456896,us
61458481,us
61466492,us
61471623,us
61479241,us
61479632,us
61493856,us
61536075,us
61537195,us
61542679,us
61547425,us
61554081,us
61557684,us
61558346,us
61560960,us
61563129,us
006156544X,us
61567159,us
006156754X,us
006156821X,us
61575372,us
61578916,us
61579521,us
61582336,us
61582573,us
61583049,us
61624977,us
61625124,us
61626813,us
006164742X,us
61655503,us
61662496,us
61665746,us
61668354,us
61669199,us
61670138,us
61671401,us
61671789,us
006167219X,us
61673641,us
61684384,us
006168712X,us
61687146,us
61688606,us
61688983,us
61689742,us
61689831,us
61690392,us
61692379,us
61704229,us
61706620,us
61709719,us
61710318,us
61710377,us
61711330,us
61714429,us
61714542,us
61717096,us
61721786,us
61725447,us
61726451,us
61728977,us
61730416,us
61733601,us
006176230X,us
61769525,us
61774197,us
71629610,us
137022077,us
013714234X,us
137150695,us
141439718,us
142405523,us
143116428,us
151011877,us
151012032,us
151013233,us
015101342X,us
151013543,us
151013969,us
151014264,us
015101485X,us
151014892,us
151015287,us
015205488X,us
152061940,us
152063846,us
194325687,us
195183533,us
195326601,us
195328558,us
195337174,us
195372034,us
